state,district,project_type,land_area_acres,number_of_landowners,acquisition_stage,number_of_objections,number_of_court_cases,compensation_completed_pct,pending_approvals,days_in_current_stage,approximate_delay_days,sanction_amount_lakh,land_acquisition_agency,environmental_clearance,forest_clearance,relocation_required,structures_affected,dispute_severity,payment_status,document_verification_status,project_length_km,last_review_days_ago
Haryana,Ambala,Highway,16.32,7.0,Compensation,0.0,0.0,77.6,2.0,,107,2414.0,State PWD,Completed,Not Required,No,26.0,Low,Complete,Pending,119.37,137.0
Haryana,Ambala,Highway,6.61,4.0,Notification,0.0,0.0,18.8,1.0,27.0,28,1025.0,Special LA Unit,Completed,Pending,No,18.0,None,Partial,Pending,115.54,62.0
Haryana,Ambala,Highway,7.42,6.0,Compensation,1.0,0.0,73.5,0.0,59.0,86,603.0,Special LA Unit,Completed,Completed,No,30.0,None,Complete,Partial,179.65,57.0
Uttarakhand,Haridwar,Highway,5.98,1.0,Compensation,0.0,0.0,75.2,1.0,41.0,61,4554.0,NHAI,Not Required,Not Required,No,8.0,Low,Partial,Pending,72.4,75.0
Uttarakhand,Dehradun,Highway,25.25,8.0,Objection,2.0,1.0,29.3,0.0,19.0,81,4511.0,State PWD,Completed,Completed,Yes,16.0,None,Pending,Complete,118.92,134.0
Rajasthan,Jodhpur,,26.15,11.0,Objection,1.0,0.0,13.2,1.0,118.0,144,514.0,Special LA Unit,Completed,Completed,Yes,7.0,None,Partial,Pending,96.56,30.0
Rajasthan,Udaipur,Highway,18.69,8.0,Possession,1.0,0.0,89.4,0.0,163.0,110,1428.0,District Administration,Completed,Pending,No,5.0,High,Complete,Complete,61.96,62.0
Madhya Pradesh,Gwalior,Road Widening,14.82,8.0,Possession,1.0,0.0,93.3,0.0,11.0,23,1991.0,Special LA Unit,Completed,Pending,No,3.0,None,Complete,Partial,133.62,87.0
Haryana,Ambala,Railway,20.34,11.0,Compensation,0.0,0.0,68.6,0.0,60.0,77,1026.0,NHAI,Completed,Pending,No,5.0,None,Complete,Complete,126.11,10.0
Himachal Pradesh,Sirmaur,Highway,2.94,1.0,Objection,2.0,,31.0,4.0,47.0,115,379.0,Special LA Unit,Completed,Pending,Yes,9.0,None,Partial,Complete,54.78,145.0
Himachal Pradesh,Solan,Highway,15.09,7.0,Objection,1.0,0.0,26.6,2.0,44.0,128,2582.0,NHAI,Pending,Pending,No,26.0,High,Complete,Complete,167.63,155.0
Uttarakhand,Haridwar,Highway,29.61,13.0,Objection,1.0,0.0,20.1,4.0,29.0,105,,NHAI,Not Required,Pending,No,6.0,Medium,Complete,Complete,94.38,72.0
Rajasthan,Udaipur,Highway,14.53,7.0,Compensation,1.0,1.0,58.6,0.0,43.0,108,4045.0,District Administration,Pending,Pending,Yes,8.0,None,Pending,Complete,89.78,91.0
Rajasthan,Udaipur,Road Widening,12.49,3.0,Award,1.0,0.0,53.0,1.0,19.0,57,1517.0,Special LA Unit,Not Required,Completed,Yes,22.0,None,Complete,Complete,135.47,150.0
Haryana,Karnal,Bypass,6.95,5.0,Award,0.0,0.0,41.9,0.0,38.0,47,2576.0,State PWD,Pending,Not Required,No,15.0,None,Partial,Partial,155.78,43.0
Uttarakhand,Dehradun,Highway,7.36,2.0,Compensation,1.0,0.0,74.7,5.0,68.0,140,1604.0,NHAI,Completed,Not Required,No,20.0,None,Partial,Complete,98.82,44.0
Uttarakhand,Udham Singh Nagar,Highway,7.65,5.0,Possession,0.0,0.0,94.6,0.0,76.0,50,239.0,Special LA Unit,Not Required,Completed,No,24.0,None,Partial,Complete,61.83,29.0
Rajasthan,Ajmer,Highway,14.43,4.0,Objection,1.0,2.0,40.1,1.0,56.0,119,3651.0,NHAI,Completed,Completed,Yes,14.0,None,Complete,Complete,148.41,82.0
Himachal Pradesh,Solan,Highway,7.91,4.0,Award,0.0,0.0,28.8,2.0,107.0,114,3727.0,District Administration,Pending,Not Required,No,1.0,None,Partial,Complete,40.89,118.0
Haryana,Hisar,Bypass,2.53,2.0,Award,0.0,0.0,45.7,0.0,47.0,58,3336.0,NHAI,Completed,Completed,No,14.0,None,Pending,Complete,53.84,68.0
Uttarakhand,Nainital,Road Widening,23.53,14.0,Objection,5.0,0.0,37.2,2.0,28.0,103,218.0,District Administration,Completed,Pending,No,13.0,None,Complete,Complete,30.11,140.0
Rajasthan,Ajmer,Railway,18.61,6.0,Award,0.0,0.0,46.2,0.0,28.0,52,3497.0,NHAI,Completed,Completed,No,29.0,None,Complete,Complete,108.04,151.0
Punjab,Bathinda,Bypass,16.15,5.0,Notification,0.0,0.0,12.5,0.0,13.0,36,3041.0,State PWD,Completed,Pending,No,20.0,None,Pending,Complete,90.72,123.0
Haryana,Karnal,Road Widening,5.39,6.0,Notification,0.0,0.0,4.6,2.0,19.0,64,2232.0,State PWD,,Completed,No,19.0,None,Partial,Complete,37.57,54.0
Uttar Pradesh,Agra,Highway,7.86,6.0,Compensation,,0.0,55.0,1.0,87.0,93,3103.0,Special LA Unit,Not Required,Not Required,No,17.0,None,Complete,Pending,68.5,164.0
Madhya Pradesh,Ujjain,Railway,18.56,8.0,Objection,1.0,0.0,37.9,3.0,20.0,86,598.0,District Administration,Not Required,Pending,No,11.0,None,Complete,Complete,117.13,80.0
Madhya Pradesh,Indore,Railway,12.21,5.0,Compensation,0.0,0.0,66.1,0.0,61.0,94,1082.0,Special LA Unit,Not Required,Completed,No,12.0,None,Complete,Partial,77.61,84.0
Rajasthan,Jodhpur,Highway,6.6,1.0,Notification,0.0,0.0,18.2,1.0,71.0,81,688.0,District Administration,Not Required,Pending,No,7.0,Low,Partial,Pending,130.01,146.0
Himachal Pradesh,Shimla,Road Widening,36.04,13.0,Compensation,0.0,0.0,66.3,4.0,81.0,134,2260.0,State PWD,Not Required,Not Required,No,10.0,Medium,Partial,Complete,152.41,80.0
Punjab,Jalandhar,Highway,5.81,2.0,Compensation,0.0,0.0,71.6,1.0,103.0,85,4481.0,State PWD,Pending,Not Required,No,22.0,Medium,Partial,Complete,52.81,103.0
Himachal Pradesh,Kangra,Highway,1.0,1.0,Compensation,0.0,0.0,84.0,2.0,26.0,54,80.0,District Administration,Pending,Completed,No,2.0,None,Partial,Partial,54.3,171.0
Madhya Pradesh,Gwalior,Road Widening,12.86,5.0,Objection,1.0,0.0,20.7,2.0,39.0,83,2258.0,District Administration,Completed,Completed,No,16.0,None,Complete,Partial,71.68,23.0
Haryana,Rohtak,Highway,13.34,5.0,Compensation,0.0,0.0,66.4,1.0,117.0,111,,Special LA Unit,Not Required,Completed,No,18.0,Low,Complete,Complete,134.5,87.0
Haryana,Sirsa,Highway,12.54,7.0,Possession,0.0,0.0,84.6,0.0,26.0,18,4690.0,Special LA Unit,Completed,Not Required,No,4.0,None,Pending,Partial,85.73,74.0
Haryana,Sirsa,Highway,16.8,5.0,Objection,3.0,0.0,32.8,3.0,31.0,115,3115.0,NHAI,Completed,Completed,No,1.0,None,Complete,Pending,59.71,66.0
Uttarakhand,Udham Singh Nagar,Road Widening,7.44,5.0,Notification,0.0,0.0,12.9,2.0,29.0,53,1148.0,Special LA Unit,Completed,Not Required,No,13.0,High,Partial,Complete,89.31,41.0
Haryana,Karnal,Bypass,369.47,118.0,Award,3.0,1.0,60.0,1.0,9.0,271,1456.0,State PWD,,Pending,No,16.0,Low,Pending,Pending,42.51,175.0
Punjab,Jalandhar,Road Widening,3.74,2.0,Possession,0.0,0.0,87.4,0.0,87.0,51,2924.0,District Administration,Pending,Not Required,Yes,5.0,None,Complete,Complete,23.22,21.0
Rajasthan,Ajmer,Railway,11.73,7.0,Notification,0.0,0.0,13.8,3.0,7.0,81,285.0,Special LA Unit,Completed,Pending,No,4.0,None,Complete,Partial,60.4,41.0
Uttar Pradesh,Kanpur Nagar,Highway,7.02,4.0,Notification,0.0,0.0,5.8,1.0,51.0,65,382.0,Special LA Unit,Completed,Completed,No,9.0,High,Complete,Partial,20.32,42.0
Himachal Pradesh,Sirmaur,Road Widening,28.1,,Possession,0.0,0.0,86.9,0.0,133.0,80,3387.0,State PWD,Pending,Completed,No,1.0,None,Partial,Pending,65.18,136.0
Himachal Pradesh,Kangra,Highway,6.08,5.0,Award,0.0,0.0,37.0,1.0,85.0,105,4021.0,NHAI,Pending,Completed,No,19.0,None,Partial,Partial,65.09,24.0
Punjab,Firozpur,Highway,12.68,1.0,Notification,0.0,0.0,20.6,3.0,21.0,56,3724.0,Special LA Unit,Completed,Completed,No,15.0,None,Complete,Complete,163.37,50.0
Madhya Pradesh,Ujjain,Railway,12.84,10.0,Compensation,0.0,0.0,68.7,0.0,80.0,98,900.0,Special LA Unit,Pending,Completed,No,18.0,None,Partial,Complete,171.55,37.0
Haryana,Sirsa,Highway,14.1,8.0,Notification,2.0,0.0,18.5,1.0,21.0,55,4321.0,State PWD,Pending,Not Required,No,9.0,Low,Pending,Complete,33.07,110.0
Rajasthan,Jodhpur,Bridge,6.42,7.0,Award,0.0,0.0,60.5,1.0,72.0,86,1162.0,NHAI,Completed,Completed,No,18.0,Low,Partial,Partial,84.29,101.0
Uttar Pradesh,Meerut,Highway,16.29,5.0,Notification,0.0,0.0,7.3,4.0,25.0,69,4383.0,District Administration,Completed,Completed,No,15.0,Low,Pending,Complete,59.31,175.0
Punjab,Hoshiarpur,Road Widening,12.24,6.0,Compensation,0.0,0.0,71.8,0.0,114.0,79,1514.0,Special LA Unit,Completed,Completed,No,29.0,High,Complete,Partial,50.97,53.0
Madhya Pradesh,Indore,Highway,15.99,7.0,Compensation,0.0,0.0,90.5,1.0,56.0,63,2506.0,State PWD,Pending,Completed,Yes,5.0,Medium,Complete,Pending,51.96,28.0
Haryana,Panipat,Railway,45.52,17.0,Notification,1.0,0.0,6.0,1.0,42.0,100,4788.0,NHAI,Not Required,Completed,No,13.0,None,Complete,Partial,170.84,137.0
Rajasthan,Jodhpur,Road Widening,13.18,6.0,Award,1.0,0.0,52.3,3.0,101.0,111,2066.0,State PWD,Not Required,Pending,No,29.0,None,Partial,Complete,117.66,55.0
Haryana,Karnal,Highway,5.13,3.0,Possession,0.0,0.0,94.9,0.0,52.0,42,3355.0,District Administration,Pending,Pending,No,29.0,None,Pending,Complete,158.52,74.0
Punjab,Firozpur,Bridge,63.24,22.0,Award,2.0,0.0,61.1,2.0,37.0,107,,Special LA Unit,Completed,Pending,No,0.0,None,Complete,Partial,70.09,139.0
Uttarakhand,Dehradun,Road Widening,27.45,12.0,Possession,0.0,0.0,90.6,0.0,43.0,37,420.0,Special LA Unit,Completed,Not Required,No,10.0,None,Complete,Complete,52.91,26.0
Haryana,Ambala,Highway,20.82,10.0,Possession,0.0,0.0,87.5,0.0,41.0,41,3973.0,District Administration,Pending,Completed,Yes,4.0,Medium,Complete,Pending,133.97,149.0
Himachal Pradesh,Kangra,Railway,10.22,4.0,Objection,2.0,1.0,30.0,0.0,64.0,113,1824.0,State PWD,Completed,Pending,No,21.0,None,Pending,Complete,55.19,20.0
Uttar Pradesh,Prayagraj,,22.39,7.0,Compensation,0.0,0.0,65.2,0.0,85.0,95,2402.0,Special LA Unit,Pending,Pending,No,22.0,Low,Complete,Complete,66.23,167.0
Madhya Pradesh,Jabalpur,Railway,2.08,2.0,Compensation,0.0,0.0,52.8,1.0,21.0,68,1557.0,NHAI,Not Required,Not Required,Yes,17.0,None,Complete,Complete,166.1,147.0
Uttarakhand,Haridwar,Highway,44.45,16.0,Compensation,0.0,0.0,88.2,1.0,100.0,96,4976.0,State PWD,Completed,Completed,No,28.0,None,Complete,Complete,155.45,139.0
Haryana,Sirsa,Bypass,25.58,11.0,Compensation,1.0,0.0,77.3,3.0,37.0,95,2775.0,Special LA Unit,,Completed,No,1.0,None,Complete,Partial,32.24,81.0
Himachal Pradesh,Solan,Highway,10.27,3.0,Objection,1.0,1.0,34.6,1.0,,64,3205.0,Special LA Unit,Pending,Completed,No,1.0,None,Partial,Partial,70.67,111.0
Rajasthan,Udaipur,Railway,25.04,13.0,Possession,0.0,,82.8,0.0,52.0,47,2638.0,Special LA Unit,Completed,Completed,No,28.0,None,Partial,Pending,81.64,56.0
Rajasthan,Ajmer,Bridge,20.21,7.0,Objection,1.0,0.0,33.2,2.0,30.0,100,1575.0,District Administration,Completed,Pending,No,0.0,Low,Pending,Pending,117.05,66.0
Madhya Pradesh,Indore,Bridge,5.06,1.0,Compensation,1.0,0.0,,0.0,85.0,78,2951.0,Special LA Unit,Pending,Completed,Yes,29.0,Low,Partial,Partial,12.07,117.0
Haryana,Sirsa,Railway,13.9,6.0,Possession,0.0,0.0,83.3,0.0,64.0,48,3978.0,NHAI,Completed,Not Required,Yes,17.0,Medium,Complete,Pending,68.74,169.0
Himachal Pradesh,Mandi,Railway,16.42,4.0,Award,0.0,0.0,31.9,3.0,54.0,106,520.0,District Administration,Completed,Not Required,No,19.0,Medium,Partial,Complete,15.65,65.0
Haryana,Karnal,Road Widening,10.66,3.0,Compensation,0.0,0.0,84.7,2.0,116.0,92,796.0,State PWD,Not Required,Completed,No,13.0,None,Partial,Pending,116.04,164.0
Haryana,Rohtak,Highway,9.91,2.0,Compensation,0.0,0.0,53.8,1.0,64.0,57,864.0,District Administration,Completed,Not Required,Yes,19.0,None,Partial,Pending,143.62,38.0
Uttar Pradesh,Meerut,Road Widening,25.69,11.0,Possession,0.0,0.0,89.7,0.0,12.0,23,4682.0,NHAI,Completed,Completed,No,6.0,None,Partial,Partial,105.41,12.0
Haryana,Karnal,Road Widening,13.87,8.0,Award,0.0,0.0,56.5,4.0,68.0,89,2904.0,State PWD,Not Required,Completed,Yes,3.0,High,Complete,Pending,88.99,36.0
Haryana,Sirsa,Highway,58.92,22.0,Compensation,1.0,0.0,83.7,1.0,61.0,91,1734.0,NHAI,Completed,Not Required,No,4.0,None,Partial,Partial,60.24,139.0
Uttarakhand,Dehradun,Railway,6.85,6.0,Notification,1.0,0.0,5.4,1.0,43.0,85,1034.0,District Administration,Completed,Completed,No,5.0,Medium,Complete,Complete,103.06,6.0
Uttarakhand,Dehradun,Highway,16.91,6.0,Notification,0.0,0.0,7.1,4.0,31.0,107,3440.0,Special LA Unit,Not Required,Completed,No,26.0,Medium,Complete,Complete,88.2,120.0
Haryana,Sirsa,Road Widening,5.46,2.0,Notification,0.0,0.0,9.8,0.0,12.0,15,2647.0,NHAI,Pending,Completed,No,13.0,None,Complete,Pending,116.98,80.0
Uttar Pradesh,Varanasi,Highway,21.24,10.0,Award,2.0,0.0,50.2,3.0,27.0,90,3145.0,Special LA Unit,Completed,Not Required,No,3.0,None,Pending,Pending,44.84,3.0
Uttar Pradesh,Varanasi,Bypass,4.63,4.0,Compensation,0.0,0.0,73.6,2.0,58.0,61,3591.0,District Administration,Pending,Completed,No,7.0,Medium,Complete,Complete,77.26,47.0
Uttar Pradesh,,Highway,15.26,8.0,Notification,0.0,0.0,4.4,1.0,34.0,67,524.0,NHAI,Completed,Not Required,No,21.0,Low,Pending,Complete,97.26,157.0
Uttarakhand,Nainital,Highway,32.57,15.0,Objection,2.0,0.0,17.3,1.0,13.0,70,3413.0,District Administration,Not Required,Not Required,No,11.0,High,Partial,Complete,143.98,79.0
Punjab,Hoshiarpur,Road Widening,12.48,6.0,Objection,1.0,0.0,,3.0,49.0,74,3622.0,NHAI,Pending,Not Required,Yes,25.0,Low,Pending,Complete,179.67,140.0
Himachal Pradesh,Solan,Highway,5.14,4.0,Possession,0.0,1.0,91.6,,22.0,33,1421.0,Special LA Unit,Pending,Not Required,No,0.0,High,Complete,Complete,75.3,40.0
Madhya Pradesh,Indore,Highway,26.66,10.0,Notification,0.0,0.0,10.0,1.0,16.0,52,1593.0,State PWD,Completed,Completed,No,0.0,None,Partial,Partial,118.76,147.0
Rajasthan,Alwar,Road Widening,16.22,11.0,Award,1.0,0.0,34.9,2.0,63.0,92,2980.0,NHAI,Completed,Pending,No,24.0,High,Complete,Complete,54.53,26.0
Uttarakhand,Udham Singh Nagar,Bridge,11.11,4.0,Compensation,0.0,0.0,69.4,1.0,83.0,91,1936.0,Special LA Unit,Completed,Not Required,No,23.0,None,Complete,Pending,118.64,81.0
Rajasthan,Kota,Railway,5.25,3.0,Possession,0.0,0.0,96.7,0.0,71.0,47,4657.0,District Administration,Pending,Completed,No,2.0,None,Pending,Complete,27.57,87.0
Uttarakhand,Udham Singh Nagar,Highway,3.04,3.0,Compensation,0.0,0.0,85.1,0.0,32.0,51,527.0,District Administration,Pending,Not Required,No,21.0,None,Complete,Complete,47.15,69.0
Madhya Pradesh,Bhopal,Highway,80.95,32.0,Objection,,1.0,29.9,0.0,90.0,166,886.0,Special LA Unit,Completed,Not Required,No,6.0,None,Partial,Partial,86.5,134.0
Punjab,Bathinda,Road Widening,7.34,5.0,Notification,0.0,0.0,9.0,5.0,50.0,83,4059.0,District Administration,Completed,Not Required,Yes,16.0,Medium,Partial,Partial,56.47,171.0
Uttarakhand,Nainital,Railway,5.13,1.0,Notification,0.0,0.0,2.1,4.0,27.0,63,3421.0,Special LA Unit,Completed,Completed,No,22.0,Low,Complete,Complete,36.28,33.0
Punjab,Firozpur,Bridge,15.6,10.0,Compensation,0.0,1.0,83.4,3.0,101.0,136,4308.0,District Administration,Completed,Completed,Yes,2.0,Medium,Pending,Partial,133.75,74.0
Madhya Pradesh,Indore,Highway,5.03,6.0,Objection,1.0,2.0,,1.0,45.0,109,167.0,NHAI,Not Required,Not Required,No,30.0,Low,Pending,Complete,102.28,77.0
Punjab,Amritsar,Road Widening,18.24,10.0,Objection,3.0,0.0,13.1,4.0,78.0,135,714.0,Special LA Unit,Not Required,Completed,No,28.0,None,Partial,Complete,164.55,171.0
Haryana,Sirsa,Bridge,37.65,15.0,Notification,2.0,0.0,13.9,2.0,6.0,72,4192.0,Special LA Unit,Pending,Not Required,Yes,9.0,Medium,Pending,Complete,3.41,113.0
Uttarakhand,Nainital,Highway,4.86,5.0,Award,0.0,0.0,50.0,1.0,89.0,94,4072.0,State PWD,Not Required,Completed,No,28.0,None,Complete,Complete,36.29,152.0
Madhya Pradesh,Gwalior,Bridge,9.26,5.0,Objection,2.0,1.0,23.3,3.0,37.0,102,4137.0,District Administration,Pending,Completed,No,16.0,Low,Complete,Partial,99.36,4.0
Haryana,Karnal,Highway,17.22,8.0,Award,1.0,1.0,27.4,0.0,124.0,142,4495.0,NHAI,Completed,Pending,No,10.0,None,Pending,Complete,78.44,20.0
Punjab,Bathinda,Railway,4.24,4.0,Notification,1.0,1.0,8.1,2.0,15.0,72,1191.0,State PWD,Pending,Not Required,No,27.0,None,Complete,Complete,179.41,142.0
Madhya Pradesh,Ujjain,Highway,5.51,4.0,Award,0.0,1.0,51.8,0.0,57.0,75,531.0,District Administration,Completed,Completed,Yes,10.0,None,Pending,Partial,103.9,58.0
Rajasthan,Kota,Bypass,10.81,7.0,Notification,0.0,0.0,9.2,1.0,43.0,83,1516.0,State PWD,Completed,Pending,No,13.0,Medium,Complete,Complete,18.27,142.0
Madhya Pradesh,Bhopal,Bridge,63.22,,Award,1.0,0.0,50.2,3.0,18.0,109,4987.0,Special LA Unit,Pending,Completed,No,16.0,None,Partial,Complete,80.1,152.0
Madhya Pradesh,Bhopal,Highway,5.78,3.0,Compensation,0.0,0.0,72.2,0.0,76.0,81,2607.0,NHAI,Completed,Completed,No,6.0,None,Complete,Complete,33.2,110.0
Madhya Pradesh,,Railway,9.39,2.0,Compensation,0.0,0.0,77.3,0.0,84.0,86,72.0,District Administration,Not Required,Not Required,No,27.0,Medium,Pending,Pending,37.79,121.0
Rajasthan,Jodhpur,Highway,98.26,38.0,Notification,1.0,0.0,7.6,1.0,47.0,124,3730.0,District Administration,Completed,Not Required,No,26.0,None,Complete,Complete,56.02,149.0
Rajasthan,Alwar,Highway,23.47,8.0,Compensation,1.0,0.0,81.1,0.0,103.0,101,4219.0,Special LA Unit,Completed,Not Required,No,28.0,None,Pending,Complete,139.78,43.0
Madhya Pradesh,Indore,Road Widening,2.83,2.0,Award,1.0,0.0,58.1,2.0,40.0,88,655.0,Special LA Unit,Completed,Completed,No,26.0,Low,Complete,Complete,102.51,11.0
Madhya Pradesh,,Road Widening,9.79,6.0,Award,2.0,0.0,28.1,3.0,163.0,164,2813.0,Special LA Unit,Completed,Completed,No,7.0,None,Partial,Complete,117.08,9.0
Rajasthan,Kota,Highway,19.63,11.0,Notification,0.0,0.0,16.5,0.0,73.0,109,3737.0,Special LA Unit,Completed,Pending,No,18.0,Low,Complete,Partial,66.31,12.0
Madhya Pradesh,Gwalior,Highway,40.84,17.0,Possession,2.0,0.0,91.9,0.0,105.0,103,4788.0,NHAI,Completed,Completed,No,17.0,Medium,Complete,Complete,129.51,143.0
Madhya Pradesh,,Highway,39.01,17.0,Award,0.0,0.0,44.2,4.0,93.0,135,3055.0,State PWD,Completed,Pending,No,24.0,None,Partial,Complete,139.67,100.0
Rajasthan,Jaipur,Highway,19.22,6.0,Award,0.0,0.0,,2.0,111.0,119,1723.0,District Administration,Completed,Completed,No,11.0,Low,Complete,Partial,77.64,133.0
Uttar Pradesh,Meerut,Highway,21.96,7.0,Notification,0.0,0.0,8.7,4.0,50.0,97,4555.0,Special LA Unit,Completed,Not Required,Yes,16.0,None,Complete,Complete,29.13,149.0
Uttar Pradesh,Varanasi,Highway,3.96,1.0,Compensation,1.0,0.0,70.3,0.0,78.0,77,1836.0,Special LA Unit,Completed,Completed,No,6.0,None,Complete,Complete,163.37,112.0
Uttar Pradesh,Agra,Bypass,6.63,2.0,Objection,1.0,0.0,22.0,1.0,79.0,117,3184.0,District Administration,Not Required,Pending,No,16.0,None,Partial,Complete,97.46,128.0
Punjab,Moga,Highway,3.96,3.0,Compensation,1.0,1.0,79.2,1.0,52.0,78,4209.0,NHAI,Not Required,Completed,No,0.0,High,Complete,Complete,61.79,161.0
Rajasthan,Jodhpur,Bridge,28.67,13.0,Notification,0.0,0.0,12.8,2.0,37.0,66,2675.0,State PWD,Completed,Completed,No,0.0,None,Pending,Pending,91.3,150.0
Uttarakhand,Udham Singh Nagar,Highway,16.45,9.0,Objection,1.0,0.0,15.9,3.0,66.0,77,3567.0,District Administration,Pending,Completed,Yes,9.0,Medium,Complete,Complete,129.12,68.0
Uttarakhand,Haridwar,Road Widening,13.07,3.0,Compensation,1.0,0.0,69.8,1.0,37.0,69,4216.0,Special LA Unit,Not Required,Completed,No,21.0,None,Pending,Partial,137.39,46.0
Punjab,Firozpur,,44.35,17.0,Award,1.0,0.0,47.1,3.0,59.0,119,3022.0,State PWD,Completed,Completed,No,10.0,None,Complete,Partial,18.76,157.0
Haryana,Ambala,Highway,18.87,7.0,Notification,0.0,0.0,6.8,3.0,70.0,92,2129.0,State PWD,Not Required,Completed,No,21.0,Medium,Complete,Partial,162.12,163.0
Haryana,Panipat,Road Widening,31.42,8.0,Compensation,0.0,0.0,74.5,2.0,35.0,57,3239.0,Special LA Unit,Pending,Completed,No,20.0,Medium,Complete,Pending,146.06,92.0
Punjab,Ludhiana,Highway,22.71,11.0,Possession,0.0,0.0,98.8,0.0,90.0,60,2035.0,Special LA Unit,Completed,Pending,Yes,9.0,Medium,Partial,Complete,152.4,26.0
Punjab,Moga,Highway,24.67,12.0,Award,1.0,0.0,41.9,1.0,77.0,103,3429.0,NHAI,Completed,Completed,No,19.0,Medium,Partial,Complete,120.45,158.0
Uttar Pradesh,Prayagraj,Highway,4.92,2.0,Compensation,0.0,0.0,74.9,0.0,54.0,46,,State PWD,Not Required,Completed,No,12.0,Low,Complete,Complete,105.24,47.0
Punjab,Jalandhar,Railway,27.33,,Award,1.0,0.0,39.4,1.0,47.0,78,286.0,State PWD,Completed,Pending,No,30.0,None,Partial,Partial,14.43,59.0
Haryana,Panipat,Highway,17.85,8.0,Compensation,0.0,0.0,80.3,0.0,69.0,71,2400.0,District Administration,Completed,Completed,Yes,0.0,None,Complete,Complete,124.01,160.0
Rajasthan,Jodhpur,Highway,8.44,5.0,Compensation,0.0,0.0,81.3,4.0,83.0,104,633.0,District Administration,Completed,Completed,No,20.0,Low,Partial,Complete,64.58,15.0
Uttarakhand,Udham Singh Nagar,Highway,21.37,8.0,Compensation,0.0,0.0,80.0,2.0,73.0,99,3667.0,Special LA Unit,Completed,Completed,No,25.0,Low,Pending,Complete,139.95,9.0
Himachal Pradesh,Kangra,Road Widening,35.62,12.0,Objection,3.0,0.0,26.6,3.0,129.0,161,947.0,District Administration,Completed,Completed,No,4.0,Low,Complete,Pending,150.01,150.0
Rajasthan,Kota,Bridge,10.99,3.0,Objection,2.0,1.0,18.8,2.0,9.0,57,2522.0,Special LA Unit,Completed,Not Required,No,30.0,Low,Partial,Complete,116.07,94.0
Rajasthan,Alwar,Highway,6.31,6.0,Compensation,0.0,0.0,61.5,0.0,147.0,159,925.0,NHAI,Pending,Pending,No,18.0,None,Pending,Complete,115.29,124.0
Himachal Pradesh,Sirmaur,Highway,6.57,6.0,Compensation,0.0,0.0,66.7,1.0,134.0,123,4613.0,District Administration,Completed,Completed,No,17.0,High,Partial,Complete,159.72,33.0
Uttarakhand,Nainital,Highway,3.65,1.0,Compensation,0.0,0.0,90.0,1.0,33.0,64,4222.0,NHAI,Not Required,Completed,No,5.0,None,Complete,Complete,160.12,142.0
Uttar Pradesh,Kanpur Nagar,Bridge,10.35,3.0,Notification,1.0,0.0,4.1,1.0,47.0,79,58.0,District Administration,Not Required,Completed,Yes,18.0,Medium,Complete,Complete,29.05,100.0
Punjab,Amritsar,Highway,19.72,6.0,Award,0.0,0.0,41.6,2.0,30.0,67,2002.0,Special LA Unit,Completed,Not Required,No,4.0,Medium,Complete,Complete,45.13,4.0
Madhya Pradesh,Gwalior,Railway,52.13,17.0,Compensation,1.0,1.0,85.1,1.0,89.0,138,4713.0,Special LA Unit,Not Required,Completed,No,12.0,None,Pending,Complete,72.33,54.0
Madhya Pradesh,Indore,Railway,6.02,7.0,Notification,0.0,0.0,19.2,1.0,49.0,92,2472.0,Special LA Unit,Pending,Completed,No,28.0,None,Partial,Partial,165.26,65.0
Madhya Pradesh,Bhopal,Highway,16.21,6.0,Possession,0.0,0.0,87.8,1.0,31.0,40,4228.0,State PWD,Completed,Not Required,No,7.0,None,Complete,Partial,151.56,92.0
Uttarakhand,Dehradun,Railway,12.17,7.0,Award,0.0,0.0,47.6,1.0,28.0,50,492.0,District Administration,Completed,Completed,No,5.0,None,Complete,Complete,36.31,6.0
Rajasthan,Jodhpur,Road Widening,11.85,5.0,Compensation,1.0,0.0,77.3,0.0,59.0,75,2174.0,State PWD,Completed,Completed,No,0.0,None,Partial,Pending,41.56,30.0
Madhya Pradesh,Indore,Highway,3.25,2.0,Objection,1.0,0.0,16.3,2.0,55.0,92,4359.0,NHAI,Not Required,Not Required,No,14.0,None,Complete,Complete,36.86,138.0
Madhya Pradesh,Ujjain,Highway,5.06,3.0,Award,3.0,1.0,36.8,4.0,67.0,139,1014.0,State PWD,Completed,Pending,No,22.0,Low,Complete,Complete,147.36,90.0
Rajasthan,Ajmer,Highway,55.84,22.0,Possession,0.0,0.0,92.4,0.0,76.0,89,100.0,District Administration,Pending,Completed,No,28.0,None,Complete,Complete,59.54,42.0
Punjab,Firozpur,Highway,28.16,11.0,Compensation,1.0,0.0,78.6,0.0,103.0,121,3685.0,NHAI,Not Required,Completed,No,3.0,None,Complete,Pending,140.8,74.0
Rajasthan,Jodhpur,Railway,15.19,8.0,Notification,0.0,1.0,8.0,2.0,8.0,94,462.0,District Administration,Not Required,Not Required,No,18.0,None,Pending,Partial,14.18,11.0
Himachal Pradesh,Sirmaur,Road Widening,17.68,10.0,Possession,1.0,0.0,94.4,0.0,89.0,69,1538.0,State PWD,Not Required,Completed,Yes,4.0,None,Partial,Partial,166.69,163.0
